"";".id";"Nombre.de.la.instalacion";"Municipio.de.la.instalacion";"Provincia.de.la.instalacion";"Clave.del.registro";"Codigo.registro.autonomico.definitivo";"Potencia.nominal.de.la.fase..kW.";"Grupo.Normativo";"Tipo.de.Inscripcion"
"1";"NULL";"PERGOLA FOTOVOLTAICA JARDINES COMPLEJO DE MONCLOA";"Madrid";"MADRID";"RE-001103";"RED-13/00/b.1";"40,000";"b.1.1";"Inscripción definitiva"
"2";"NULL";"ESTACION DE SERVICIO VALDEMORO";"Valdemoro";"MADRID";"RE-001025";"RED-12/00/b.1";"14,300";"b.1.1";"Inscripción definitiva"
"3";"NULL";"ESTACION DE SERVICIO - RELAMPAGO";"Majadahonda";"MADRID";"RE-001026";"";"14,300";"b.1.1";"Inscripción previa"
"4";"NULL";"EUROPEA DE COGENERACION, S.A. (Fase nº2)";"Alcobendas";"MADRID";"RE-001104";"RE/0104/2006";"780,000";"a.1.1";"Inscripción definitiva"
"5";"NULL";"CENTRAL FOTOVOLTAICA DE ALCORCON";"Alcorcón";"MADRID";"RE-001105";"";"73,500";"b.1.1";"Inscripción previa"
"6";"NULL";"ENRIQUE RAMON BORJA";"Torrejón de Ardoz";"MADRID";"RE-00D-672";"RED-08/99/a.1";"942,000";"a.1.1";"Inscripción definitiva"
"7";"NULL";"FABRICACION DE ENVASES INDUSTRIALES";"Valdemoro";"MADRID";"RE-001227";"RED-04/00/a.1";"760,000";"a.1.2";"Inscripción definitiva"
"8";"NULL";"GENERACION PENINSULAR, S.L.";"Carabaña";"MADRID";"RE-001369";"RED-28/02/b.4";"169,000";"b.4";"Inscripción definitiva"
"9";"NULL";"IBERIA LINEAS AEREAS DE ESPAÑA";"Madrid";"MADRID";"RE-003624";"RED-11/00/a.1";"2912,000";"a.1.1";"Inscripción definitiva"
"10";"NULL";"COOPERATIVA DE VIVIENDAS JOVENES DE ORCASITAS";"Madrid";"MADRID";"RE-00D-689";"RED-09/00/a.1";"492,000";"a.1.1";"Inscripción definitiva"
